Date,Power [kWh],Power-1 [kWh],Hour,Temperature [C],Holiday
2019-01-13 11:00:00,107.537,105.156,11,8.706666666666665,0
2019-01-13 12:00:00,107.885,107.537,12,9.460833333333332,0
2019-01-13 13:00:00,109.373,107.885,13,10.8975,0
2019-01-13 14:00:00,105.773,109.373,14,12.305,0
2019-01-13 15:00:00,104.773,105.773,15,12.816666666666668,0
2019-01-13 16:00:00,104.497,104.773,16,13.211666666666666,0
2019-01-13 17:00:00,111.094,104.497,17,12.165833333333332,0
2019-01-13 18:00:00,105.559,111.094,18,11.44,0
2019-01-13 19:00:00,105.263,105.559,19,10.523333333333332,0
2019-01-13 20:00:00,104.619,105.263,20,10.36,0
2019-01-13 21:00:00,109.852,104.619,21,10.696666666666667,0
2019-01-13 22:00:00,103.032,109.852,22,10.604166666666666,0
2019-01-13 23:00:00,100.617,103.032,23,10.265,0
2019-01-14 00:00:00,104.343,100.617,0,10.493333333333334,0
2019-01-14 01:00:00,101.641,104.343,1,10.8225,0
2019-01-14 02:00:00,102.776,101.641,2,9.159166666666666,0
2019-01-14 03:00:00,100.119,102.776,3,7.94,0
2019-01-14 04:00:00,104.317,100.119,4,6.927333333333333,0
2019-01-14 05:00:00,102.756,104.317,5,7.719666666666666,0
2019-01-14 06:00:00,110.289,102.756,6,5.378583333333334,0
2019-01-14 07:00:00,159.908,110.289,7,5.55225,0
2019-01-14 08:00:00,206.337,159.908,8,8.00275,0
2019-01-14 09:00:00,234.132,206.337,9,10.57,0
2019-01-14 10:00:00,263.856,234.132,10,11.92,0
2019-01-14 11:00:00,325.615,263.856,11,12.4875,0
2019-01-14 12:00:00,280.451,325.615,12,13.308333333333332,0
2019-01-14 13:00:00,295.991,280.451,13,14.340833333333334,0
2019-01-14 14:00:00,304.125,295.991,14,15.013333333333334,0
2019-01-14 15:00:00,308.112,304.125,15,15.700833333333334,0
2019-01-14 16:00:00,294.829,308.112,16,14.005833333333332,0
2019-01-14 17:00:00,269.25,294.829,17,12.4875,0
2019-01-14 18:00:00,226.608,269.25,18,11.339166666666666,0
2019-01-14 19:00:00,174.723,226.608,19,10.755833333333332,0
2019-01-14 20:00:00,155.469,174.723,20,10.578333333333331,0
2019-01-14 21:00:00,126.818,155.469,21,10.379166666666666,0
2019-01-14 22:00:00,112.899,126.818,22,10.1925,0
2019-01-14 23:00:00,111.876,112.899,23,10.025,0
2019-01-15 00:00:00,105.547,111.876,0,9.741666666666667,0
2019-01-15 01:00:00,103.665,105.547,1,9.625,0
2019-01-15 02:00:00,106.325,103.665,2,9.431666666666668,0
2019-01-15 03:00:00,103.032,106.325,3,9.365833333333333,0
2019-01-15 04:00:00,103.305,103.032,4,9.39,0
2019-01-15 05:00:00,108.016,103.305,5,9.359166666666669,0
2019-01-15 06:00:00,110.193,108.016,6,9.250833333333334,0
2019-01-15 07:00:00,152.996,110.193,7,9.146666666666668,0
2019-01-15 08:00:00,207.307,152.996,8,8.571666666666667,0
2019-01-15 09:00:00,233.902,207.307,9,8.933333333333334,0
2019-01-15 10:00:00,272.68,233.902,10,10.405,0
2019-01-15 11:00:00,350.217,272.68,11,9.960833333333332,0
2019-01-15 12:00:00,292.871,350.217,12,11.591666666666669,0
2019-01-15 13:00:00,317.3,292.871,13,11.231666666666667,0
2019-01-15 14:00:00,305.501,317.3,14,11.4275,0
2019-01-15 15:00:00,310.32,305.501,15,11.4675,0
2019-01-15 16:00:00,284.119,310.32,16,11.278333333333334,0
2019-01-15 17:00:00,277.714,284.119,17,11.195,0
2019-01-15 18:00:00,236.498,277.714,18,11.1225,0
2019-01-15 19:00:00,180.431,236.498,19,11.0575,0
2019-01-15 20:00:00,156.235,180.431,20,11.034999999999998,0
2019-01-15 21:00:00,126.025,156.235,21,11.211666666666666,0
2019-01-15 22:00:00,108.66,126.025,22,11.221666666666666,0
2019-01-15 23:00:00,107.575,108.66,23,10.940833333333332,0
2019-01-16 00:00:00,102.212,107.575,0,10.741666666666667,0
2019-01-16 01:00:00,102.703,102.212,1,11.188333333333333,0
2019-01-16 02:00:00,105.681,102.703,2,10.905833333333334,0
2019-01-16 03:00:00,103.274,105.681,3,10.288333333333334,0
2019-01-16 04:00:00,104.021,103.274,4,9.088333333333331,0
2019-01-16 05:00:00,98.444,104.021,5,8.308333333333332,0
2019-01-16 06:00:00,110.159,98.444,6,8.34,0
2019-01-16 07:00:00,157.657,110.159,7,7.97,0
2019-01-16 08:00:00,194.484,157.657,8,8.208333333333334,0
2019-01-16 09:00:00,240.381,194.484,9,8.5725,0
2019-01-16 10:00:00,272.324,240.381,10,8.814166666666667,0
2019-01-16 11:00:00,341.5,272.324,11,9.26,0
2019-01-16 12:00:00,300.783,341.5,12,10.030833333333334,0
2019-01-16 13:00:00,325.672,300.783,13,10.755,0
2019-01-16 14:00:00,295.274,325.672,14,10.669166666666667,0
2019-01-16 15:00:00,306.245,295.274,15,11.131666666666668,0
2019-01-16 16:00:00,291.019,306.245,16,11.1375,0
2019-01-16 17:00:00,276.015,291.019,17,11.091666666666669,0
2019-01-16 18:00:00,232.051,276.015,18,10.971666666666666,0
2019-01-16 19:00:00,186.078,232.051,19,10.435833333333331,0
2019-01-16 20:00:00,159.965,186.078,20,10.503333333333334,0
2019-01-16 21:00:00,123.84,159.965,21,9.565,0
2019-01-16 22:00:00,114.594,123.84,22,9.271666666666668,0
2019-01-16 23:00:00,112.045,114.594,23,8.904166666666667,0
2019-01-17 00:00:00,112.712,112.045,0,9.126666666666669,0
2019-01-17 01:00:00,108.276,112.712,1,9.413333333333334,0
2019-01-17 02:00:00,107.548,108.276,2,9.276666666666666,0
2019-01-17 03:00:00,110.592,107.548,3,8.9925,0
2019-01-17 04:00:00,107.207,110.592,4,8.9,0
2019-01-17 05:00:00,106.034,107.207,5,8.775,0
2019-01-17 06:00:00,115.357,106.034,6,8.238333333333333,0
2019-01-17 07:00:00,157.098,115.357,7,8.959166666666667,0
2019-01-17 08:00:00,202.047,157.098,8,9.735,0
2019-01-17 09:00:00,238.721,202.047,9,10.368333333333334,0
2019-01-17 10:00:00,269.526,238.721,10,11.238333333333332,0
2019-01-17 11:00:00,346.606,269.526,11,11.635,0
2019-01-17 12:00:00,285.645,346.606,12,11.97,0
2019-01-17 13:00:00,303.504,285.645,13,12.413333333333334,0
2019-01-17 14:00:00,301.837,303.504,14,12.515,0
2019-01-17 15:00:00,309.887,301.837,15,12.224166666666669,0
2019-01-17 16:00:00,284.652,309.887,16,11.470833333333331,0
2019-01-17 17:00:00,265.382,284.652,17,10.488333333333332,0
2019-01-17 18:00:00,232.572,265.382,18,9.879166666666666,0
2019-01-17 19:00:00,174.808,232.572,19,9.525,0
2019-01-17 20:00:00,157.979,174.808,20,9.325,0
2019-01-17 21:00:00,125.143,157.979,21,9.320833333333333,0
2019-01-17 22:00:00,115.932,125.143,22,9.138333333333334,0
2019-01-17 23:00:00,102.316,115.932,23,8.895833333333334,0
2019-01-18 00:00:00,105.133,102.316,0,8.891666666666667,0
2019-01-18 01:00:00,108.978,105.133,1,8.7875,0
2019-01-18 02:00:00,104.535,108.978,2,8.895833333333334,0
2019-01-18 03:00:00,109.848,104.535,3,8.829166666666667,0
2019-01-18 04:00:00,102.124,109.848,4,8.76,0
2019-01-18 05:00:00,104.071,102.124,5,8.759166666666667,0
2019-01-18 06:00:00,112.731,104.071,6,8.803333333333333,0
2019-01-18 07:00:00,152.41,112.731,7,8.798333333333334,0
2019-01-18 08:00:00,202.649,152.41,8,9.061666666666666,0
2019-01-18 09:00:00,240.12,202.649,9,10.524166666666666,0
2019-01-18 10:00:00,268.862,240.12,10,12.045,0
2019-01-18 11:00:00,342.639,268.862,11,12.021666666666668,0
2019-01-18 12:00:00,288.543,342.639,12,12.73,0
2019-01-18 13:00:00,298.233,288.543,13,12.495833333333332,0
2019-01-18 14:00:00,297.532,298.233,14,12.07,0
2019-01-18 15:00:00,295.374,297.532,15,10.798333333333334,0
2019-01-18 16:00:00,273.328,295.374,16,9.408333333333331,0
2019-01-18 17:00:00,253.069,273.328,17,9.3925,0
2019-01-18 18:00:00,221.797,253.069,18,9.9775,0
2019-01-18 19:00:00,160.356,221.797,19,11.039166666666668,0
2019-01-18 20:00:00,142.911,160.356,20,12.606666666666667,0
2019-01-18 21:00:00,117.48,142.911,21,12.0725,0
2019-01-18 22:00:00,109.641,117.48,22,12.119166666666668,0
2019-01-18 23:00:00,105.363,109.641,23,12.031666666666666,0
2019-01-19 00:00:00,106.896,105.363,0,12.175,0
2019-01-19 01:00:00,102.281,106.896,1,11.925,0
2019-01-19 02:00:00,102.128,102.281,2,11.103333333333332,0
